=== MountainCar Q-Learning Training ===
Experiment: low_discount
Configuration:
  ALPHA: 0.1
  GAMMA: 0.8
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:55:19

Episode    0 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.9950
Episode 6300 | Reward: -159.0 | Avg(100): -189.22 | Success: 42.2% | Epsilon: 0.0100
Episode 6400 | Reward: -200.0 | Avg(100): -186.86 | Success: 42.1% | Epsilon: 0.0100
Episode 6500 | Reward: -200.0 | Avg(100): -199.04 | Success: 41.5% | Epsilon: 0.0100
Episode 6600 | Reward: -200.0 | Avg(100): -198.74 | Success: 41.0% | Epsilon: 0.0100
Episode 6700 | Reward: -162.0 | Avg(100): -190.10 | Success: 40.9% | Epsilon: 0.0100
Episode 6800 | Reward: -164.0 | Avg(100): -176.47 | Success: 41.6% | Epsilon: 0.0100
Episode 6900 | Reward: -200.0 | Avg(100): -182.72 | Success: 41.7% | Epsilon: 0.0100
Episode 7000 | Reward: -200.0 | Avg(100): -171.08 | Success: 42.0% | Epsilon: 0.0100
Episode 7100 | Reward: -200.0 | Avg(100): -199.42 | Success: 41.5% | Epsilon: 0.0100
Episode 7200 | Reward: -181.0 | Avg(100): -197.99 | Success: 41.3% | Epsilon: 0.0100
Episode 7300 | Reward: -200.0 | Avg(100): -183.70 | Success: 41.5% | Epsilon: 0.0100
Episode 7400 | Reward: -200.0 | Avg(100): -196.86 | Success: 41.1% | Epsilon: 0.0100
Episode 7500 | Reward: -200.0 | Avg(100): -184.39 | Success: 41.2% | Epsilon: 0.0100
Episode 7600 | Reward: -183.0 | Avg(100): -183.53 | Success: 41.4% | Epsilon: 0.0100
Episode 7700 | Reward: -200.0 | Avg(100): -185.29 | Success: 41.4% | Epsilon: 0.0100
Episode 7800 | Reward: -200.0 | Avg(100): -199.49 | Success: 40.9% | Epsilon: 0.0100
Episode 7900 | Reward: -200.0 | Avg(100): -190.48 | Success: 40.9% | Epsilon: 0.0100
Episode 8000 | Reward: -191.0 | Avg(100): -191.18 | Success: 41.0% | Epsilon: 0.0100
Episode 8100 | Reward: -144.0 | Avg(100): -185.74 | Success: 41.1% | Epsilon: 0.0100
Episode 8200 | Reward: -147.0 | Avg(100): -164.12 | Success: 41.7% | Epsilon: 0.0100
Episode 8300 | Reward: -200.0 | Avg(100): -161.62 | Success: 42.2% | Epsilon: 0.0100
Episode 8400 | Reward: -147.0 | Avg(100): -187.25 | Success: 42.1% | Epsilon: 0.0100
Episode 8500 | Reward: -155.0 | Avg(100): -158.66 | Success: 42.8% | Epsilon: 0.0100
Episode 8600 | Reward: -200.0 | Avg(100): -175.07 | Success: 42.9% | Epsilon: 0.0100
Episode 8700 | Reward: -200.0 | Avg(100): -186.23 | Success: 42.7% | Epsilon: 0.0100
Episode 8800 | Reward: -200.0 | Avg(100): -200.00 | Success: 42.2% | Epsilon: 0.0100
Episode 8900 | Reward: -200.0 | Avg(100): -196.90 | Success: 41.9% | Epsilon: 0.0100
Episode 9000 | Reward: -200.0 | Avg(100): -196.42 | Success: 41.6% | Epsilon: 0.0100
Episode 9100 | Reward: -155.0 | Avg(100): -188.55 | Success: 41.5% | Epsilon: 0.0100
Episode 9200 | Reward: -200.0 | Avg(100): -170.16 | Success: 41.8% | Epsilon: 0.0100
Episode 9300 | Reward: -200.0 | Avg(100): -191.30 | Success: 41.6% | Epsilon: 0.0100
Episode 9400 | Reward: -152.0 | Avg(100): -184.24 | Success: 41.8% | Epsilon: 0.0100
Episode 9500 | Reward: -186.0 | Avg(100): -175.21 | Success: 42.2% | Epsilon: 0.0100
Episode 9600 | Reward: -187.0 | Avg(100): -162.35 | Success: 42.8% | Epsilon: 0.0100
Episode 9700 | Reward: -151.0 | Avg(100): -174.57 | Success: 43.2% | Epsilon: 0.0100
Episode 9800 | Reward: -149.0 | Avg(100): -180.32 | Success: 43.2% | Epsilon: 0.0100
Episode 9900 | Reward: -200.0 | Avg(100): -191.88 | Success: 42.9% | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): -199.56
Maximum reward achieved: -111.00
Overall success rate: 42.49%
Average steps (last 100): 199.56
Training time: 64.81 seconds
End time: 2026-01-18 18:56:24
