=== MountainCar Q-Learning Training ===
Experiment: high_discount
Configuration:
  ALPHA: 0.1
  GAMMA: 0.999
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:56:25

Episode 8900 | Reward: -142.0 | Avg(100): -169.41 | Success: 62.9% | Epsilon: 0.0100
Episode 9000 | Reward: -153.0 | Avg(100): -166.82 | Success: 62.9% | Epsilon: 0.0100
Episode 9100 | Reward: -166.0 | Avg(100): -164.14 | Success: 63.2% | Epsilon: 0.0100
Episode 9200 | Reward: -200.0 | Avg(100): -170.61 | Success: 63.3% | Epsilon: 0.0100
Episode 9300 | Reward: -158.0 | Avg(100): -179.93 | Success: 63.0% | Epsilon: 0.0100
Episode 9400 | Reward: -127.0 | Avg(100): -145.59 | Success: 63.4% | Epsilon: 0.0100
Episode 9500 | Reward: -124.0 | Avg(100): -142.50 | Success: 63.7% | Epsilon: 0.0100
Episode 9600 | Reward: -150.0 | Avg(100): -138.94 | Success: 64.1% | Epsilon: 0.0100
Episode 9700 | Reward: -158.0 | Avg(100): -140.02 | Success: 64.5% | Epsilon: 0.0100
Episode 9800 | Reward: -160.0 | Avg(100): -152.90 | Success: 64.7% | Epsilon: 0.0100
Episode 9900 | Reward: -150.0 | Avg(100): -157.28 | Success: 65.0% | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): -160.71
Maximum reward achieved: -109.00
Overall success rate: 65.31%
Average steps (last 100): 160.71
Training time: 61.74 seconds
End time: 2026-01-18 18:57:27
