=== CartPole Q-Learning Training ===
Experiment: fine_discretization
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (5, 5, 10, 10)
Start time: 2026-01-18 19:06:08

Episode    0 | Reward:    9.0 | Avg(100):   9.00 | Epsilon: 0.9950
Episode 6200 | Reward:  500.0 | Avg(100): 297.06 | Epsilon: 0.0100
Episode 6300 | Reward:  374.0 | Avg(100): 243.71 | Epsilon: 0.0100
Episode 6400 | Reward:  351.0 | Avg(100): 270.49 | Epsilon: 0.0100
Episode 6500 | Reward:  138.0 | Avg(100): 147.09 | Epsilon: 0.0100
Episode 6600 | Reward:   65.0 | Avg(100): 155.83 | Epsilon: 0.0100
Episode 6700 | Reward:  240.0 | Avg(100): 179.21 | Epsilon: 0.0100
Episode 6800 | Reward:  500.0 | Avg(100): 386.71 | Epsilon: 0.0100
Episode 6900 | Reward:  342.0 | Avg(100): 193.41 | Epsilon: 0.0100
Episode 7000 | Reward:  500.0 | Avg(100): 251.44 | Epsilon: 0.0100
Episode 7100 | Reward:   15.0 | Avg(100): 245.78 | Epsilon: 0.0100
Episode 7200 | Reward:  500.0 | Avg(100): 173.25 | Epsilon: 0.0100
Episode 7300 | Reward:  447.0 | Avg(100): 311.70 | Epsilon: 0.0100
Episode 7400 | Reward:  153.0 | Avg(100): 223.27 | Epsilon: 0.0100
Episode 7500 | Reward:   41.0 | Avg(100): 257.46 | Epsilon: 0.0100
Episode 7600 | Reward:   17.0 | Avg(100): 171.61 | Epsilon: 0.0100
Episode 7700 | Reward:  304.0 | Avg(100): 200.37 | Epsilon: 0.0100
Episode 7800 | Reward:  437.0 | Avg(100): 230.30 | Epsilon: 0.0100
Episode 7900 | Reward:  342.0 | Avg(100): 219.99 | Epsilon: 0.0100
Episode 8000 | Reward:  153.0 | Avg(100): 186.84 | Epsilon: 0.0100
Episode 8100 | Reward:  357.0 | Avg(100): 344.84 | Epsilon: 0.0100
Episode 8200 | Reward:  332.0 | Avg(100): 215.44 | Epsilon: 0.0100
Episode 8300 | Reward:   44.0 | Avg(100): 243.09 | Epsilon: 0.0100
Episode 8400 | Reward:   17.0 | Avg(100): 176.23 | Epsilon: 0.0100
Episode 8500 | Reward:  321.0 | Avg(100): 150.27 | Epsilon: 0.0100
Episode 8600 | Reward:  407.0 | Avg(100): 218.37 | Epsilon: 0.0100
Episode 8700 | Reward:  345.0 | Avg(100): 250.06 | Epsilon: 0.0100
Episode 8800 | Reward:  263.0 | Avg(100): 275.17 | Epsilon: 0.0100
Episode 8900 | Reward:  109.0 | Avg(100): 214.61 | Epsilon: 0.0100
Episode 9000 | Reward:  421.0 | Avg(100): 327.92 | Epsilon: 0.0100
Episode 9100 | Reward:  330.0 | Avg(100): 279.19 | Epsilon: 0.0100
Episode 9200 | Reward:   88.0 | Avg(100): 242.91 | Epsilon: 0.0100
Episode 9300 | Reward:   16.0 | Avg(100): 282.37 | Epsilon: 0.0100
Episode 9400 | Reward:  259.0 | Avg(100): 248.64 | Epsilon: 0.0100
Episode 9500 | Reward:  100.0 | Avg(100): 240.15 | Epsilon: 0.0100
Episode 9600 | Reward:  355.0 | Avg(100): 226.52 | Epsilon: 0.0100
Episode 9700 | Reward:  500.0 | Avg(100): 326.49 | Epsilon: 0.0100
Episode 9800 | Reward:  126.0 | Avg(100): 257.32 | Epsilon: 0.0100
Episode 9900 | Reward:  500.0 | Avg(100): 306.40 | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): 257.99
Maximum reward achieved: 500.00
End time: 2026-01-18 19:07:23
