=== CartPole Q-Learning Training ===
Experiment: baseline
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (3, 3, 6, 6)
Start time: 2026-01-18 19:02:09

Episode    0 | Reward:   11.0 | Avg(100):  11.00 | Epsilon: 0.9950
Episode 2900 | Reward:  118.0 | Avg(100): 189.32 | Epsilon: 0.0100
Episode 3000 | Reward:  141.0 | Avg(100): 163.87 | Epsilon: 0.0100
Episode 3100 | Reward:  221.0 | Avg(100): 146.19 | Epsilon: 0.0100
Episode 3200 | Reward:  238.0 | Avg(100): 159.12 | Epsilon: 0.0100
Episode 3300 | Reward:  192.0 | Avg(100): 159.75 | Epsilon: 0.0100
Episode 3400 | Reward:  192.0 | Avg(100): 165.39 | Epsilon: 0.0100
Episode 3500 | Reward:  151.0 | Avg(100): 150.61 | Epsilon: 0.0100
Episode 3600 | Reward:  311.0 | Avg(100): 153.50 | Epsilon: 0.0100
Episode 3700 | Reward:   93.0 | Avg(100): 151.20 | Epsilon: 0.0100
Episode 3800 | Reward:  234.0 | Avg(100): 151.67 | Epsilon: 0.0100
Episode 3900 | Reward:  182.0 | Avg(100): 155.47 | Epsilon: 0.0100
Episode 4000 | Reward:   86.0 | Avg(100): 151.57 | Epsilon: 0.0100
Episode 4100 | Reward:  182.0 | Avg(100): 159.68 | Epsilon: 0.0100
Episode 4200 | Reward:  195.0 | Avg(100): 166.12 | Epsilon: 0.0100
Episode 4300 | Reward:   13.0 | Avg(100): 148.68 | Epsilon: 0.0100
Episode 4400 | Reward:  128.0 | Avg(100): 164.31 | Epsilon: 0.0100
Episode 4500 | Reward:  147.0 | Avg(100): 159.53 | Epsilon: 0.0100
Episode 4600 | Reward:  178.0 | Avg(100): 177.04 | Epsilon: 0.0100
Episode 4700 | Reward:  130.0 | Avg(100): 146.39 | Epsilon: 0.0100
Episode 4800 | Reward:  164.0 | Avg(100): 157.38 | Epsilon: 0.0100
Episode 4900 | Reward:  215.0 | Avg(100): 155.49 | Epsilon: 0.0100
Episode 5000 | Reward:  144.0 | Avg(100): 156.16 | Epsilon: 0.0100
Episode 5100 | Reward:   75.0 | Avg(100): 155.11 | Epsilon: 0.0100
Episode 5200 | Reward:  176.0 | Avg(100): 147.57 | Epsilon: 0.0100
Episode 5300 | Reward:   85.0 | Avg(100): 145.13 | Epsilon: 0.0100
Episode 5400 | Reward:  153.0 | Avg(100): 152.68 | Epsilon: 0.0100
Episode 5500 | Reward:  164.0 | Avg(100): 149.42 | Epsilon: 0.0100
Episode 5600 | Reward:  201.0 | Avg(100): 168.30 | Epsilon: 0.0100
Episode 5700 | Reward:   82.0 | Avg(100): 140.73 | Epsilon: 0.0100
Episode 5800 | Reward:   25.0 | Avg(100): 153.49 | Epsilon: 0.0100
Episode 5900 | Reward:  200.0 | Avg(100): 156.35 | Epsilon: 0.0100
Episode 6000 | Reward:   92.0 | Avg(100): 148.19 | Epsilon: 0.0100
Episode 6100 | Reward:  168.0 | Avg(100): 153.83 | Epsilon: 0.0100
Episode 6200 | Reward:  144.0 | Avg(100): 149.30 | Epsilon: 0.0100
Episode 6300 | Reward:  236.0 | Avg(100): 145.34 | Epsilon: 0.0100
Episode 6400 | Reward:  147.0 | Avg(100): 156.96 | Epsilon: 0.0100
Episode 6500 | Reward:  154.0 | Avg(100): 146.01 | Epsilon: 0.0100
Episode 6600 | Reward:  177.0 | Avg(100): 153.52 | Epsilon: 0.0100
Episode 6700 | Reward:  189.0 | Avg(100): 149.61 | Epsilon: 0.0100
Episode 6800 | Reward:  168.0 | Avg(100): 160.72 | Epsilon: 0.0100
Episode 6900 | Reward:  233.0 | Avg(100): 161.18 | Epsilon: 0.0100
Episode 7000 | Reward:  147.0 | Avg(100): 150.69 | Epsilon: 0.0100
Episode 7100 | Reward:   10.0 | Avg(100): 146.43 | Epsilon: 0.0100
Episode 7200 | Reward:  188.0 | Avg(100): 158.89 | Epsilon: 0.0100
Episode 7300 | Reward:  186.0 | Avg(100): 158.73 | Epsilon: 0.0100
