=== MountainCar Q-Learning Training ===
Experiment: fine_discretization
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 12000
  BUCKETS: (30, 30)
Start time: 2026-01-18 18:59:33

Episode    0 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.9950
Episode 6300 | Reward: -149.0 | Avg(100): -156.81 | Success: 37.7% | Epsilon: 0.0100
Episode 6400 | Reward: -141.0 | Avg(100): -151.98 | Success: 38.6% | Epsilon: 0.0100
Episode 6500 | Reward: -154.0 | Avg(100): -154.61 | Success: 39.5% | Epsilon: 0.0100
Episode 6600 | Reward: -188.0 | Avg(100): -157.90 | Success: 40.3% | Epsilon: 0.0100
Episode 6700 | Reward: -115.0 | Avg(100): -159.86 | Success: 40.9% | Epsilon: 0.0100
Episode 6800 | Reward: -200.0 | Avg(100): -153.65 | Success: 41.5% | Epsilon: 0.0100
Episode 6900 | Reward: -191.0 | Avg(100): -171.29 | Success: 42.1% | Epsilon: 0.0100
Episode 7000 | Reward: -149.0 | Avg(100): -168.50 | Success: 42.8% | Epsilon: 0.0100
Episode 7100 | Reward: -185.0 | Avg(100): -169.52 | Success: 43.6% | Epsilon: 0.0100
Episode 7200 | Reward: -149.0 | Avg(100): -162.99 | Success: 44.4% | Epsilon: 0.0100
Episode 7300 | Reward: -155.0 | Avg(100): -160.21 | Success: 45.1% | Epsilon: 0.0100
Episode 7400 | Reward: -194.0 | Avg(100): -166.03 | Success: 45.8% | Epsilon: 0.0100
Episode 7500 | Reward: -188.0 | Avg(100): -161.60 | Success: 46.5% | Epsilon: 0.0100
Episode 7600 | Reward: -154.0 | Avg(100): -168.61 | Success: 47.2% | Epsilon: 0.0100
Episode 7700 | Reward: -150.0 | Avg(100): -171.96 | Success: 47.8% | Epsilon: 0.0100
Episode 7800 | Reward: -154.0 | Avg(100): -157.27 | Success: 48.3% | Epsilon: 0.0100
Episode 7900 | Reward: -149.0 | Avg(100): -159.70 | Success: 48.7% | Epsilon: 0.0100
Episode 8000 | Reward: -151.0 | Avg(100): -163.69 | Success: 49.0% | Epsilon: 0.0100
Episode 8100 | Reward: -200.0 | Avg(100): -158.55 | Success: 49.4% | Epsilon: 0.0100
Episode 8200 | Reward: -153.0 | Avg(100): -148.15 | Success: 50.0% | Epsilon: 0.0100
Episode 8300 | Reward: -147.0 | Avg(100): -161.19 | Success: 50.6% | Epsilon: 0.0100
