=== CartPole Q-Learning Training ===
Experiment: fast_exploration
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.99
  EPISODES: 10000
  BUCKETS: (3, 3, 6, 6)
Start time: 2026-01-18 19:05:15

Episode    0 | Reward:   12.0 | Avg(100):  12.00 | Epsilon: 0.9900
Episode 3400 | Reward:  123.0 | Avg(100): 151.01 | Epsilon: 0.0100
Episode 3500 | Reward:  117.0 | Avg(100): 144.35 | Epsilon: 0.0100
Episode 3600 | Reward:  209.0 | Avg(100): 165.35 | Epsilon: 0.0100
Episode 3700 | Reward:  129.0 | Avg(100): 161.02 | Epsilon: 0.0100
Episode 3800 | Reward:  183.0 | Avg(100): 143.04 | Epsilon: 0.0100
Episode 3900 | Reward:  164.0 | Avg(100): 160.63 | Epsilon: 0.0100
Episode 4000 | Reward:  134.0 | Avg(100): 155.43 | Epsilon: 0.0100
Episode 4100 | Reward:   95.0 | Avg(100): 150.32 | Epsilon: 0.0100
Episode 4200 | Reward:  195.0 | Avg(100): 157.37 | Epsilon: 0.0100
Episode 4300 | Reward:  122.0 | Avg(100): 160.50 | Epsilon: 0.0100
Episode 4400 | Reward:  130.0 | Avg(100): 161.84 | Epsilon: 0.0100
Episode 4500 | Reward:  231.0 | Avg(100): 159.03 | Epsilon: 0.0100
Episode 4600 | Reward:  225.0 | Avg(100): 154.29 | Epsilon: 0.0100
Episode 4700 | Reward:   82.0 | Avg(100): 140.41 | Epsilon: 0.0100
Episode 4800 | Reward:  162.0 | Avg(100): 157.34 | Epsilon: 0.0100
Episode 4900 | Reward:  183.0 | Avg(100): 155.24 | Epsilon: 0.0100
Episode 5000 | Reward:   87.0 | Avg(100): 150.85 | Epsilon: 0.0100
Episode 5100 | Reward:  120.0 | Avg(100): 161.23 | Epsilon: 0.0100
Episode 5200 | Reward:  138.0 | Avg(100): 153.45 | Epsilon: 0.0100
Episode 5300 | Reward:  181.0 | Avg(100): 152.31 | Epsilon: 0.0100
Episode 5400 | Reward:  231.0 | Avg(100): 156.64 | Epsilon: 0.0100
Episode 5500 | Reward:  184.0 | Avg(100): 161.86 | Epsilon: 0.0100
Episode 5600 | Reward:  208.0 | Avg(100): 143.39 | Epsilon: 0.0100
Episode 5700 | Reward:  174.0 | Avg(100): 160.01 | Epsilon: 0.0100
Episode 5800 | Reward:  226.0 | Avg(100): 154.95 | Epsilon: 0.0100
Episode 5900 | Reward:  120.0 | Avg(100): 154.21 | Epsilon: 0.0100
Episode 6000 | Reward:  189.0 | Avg(100): 158.38 | Epsilon: 0.0100
Episode 6100 | Reward:  150.0 | Avg(100): 158.95 | Epsilon: 0.0100
Episode 6200 | Reward:  210.0 | Avg(100): 147.77 | Epsilon: 0.0100
Episode 6300 | Reward:  211.0 | Avg(100): 152.15 | Epsilon: 0.0100
Episode 6400 | Reward:  186.0 | Avg(100): 159.76 | Epsilon: 0.0100
Episode 6500 | Reward:   89.0 | Avg(100): 154.54 | Epsilon: 0.0100
Episode 6600 | Reward:  145.0 | Avg(100): 156.98 | Epsilon: 0.0100
Episode 6700 | Reward:  144.0 | Avg(100): 156.00 | Epsilon: 0.0100
Episode 6800 | Reward:  184.0 | Avg(100): 152.71 | Epsilon: 0.0100
Episode 6900 | Reward:  165.0 | Avg(100): 141.54 | Epsilon: 0.0100
Episode 7000 | Reward:   96.0 | Avg(100): 149.17 | Epsilon: 0.0100
Episode 7100 | Reward:  103.0 | Avg(100): 152.66 | Epsilon: 0.0100
Episode 7200 | Reward:   91.0 | Avg(100): 145.01 | Epsilon: 0.0100
