=== MountainCar Q-Learning Training ===
Experiment: slow_exploration
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.999
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:57:29

Episode 8500 | Reward: -191.0 | Avg(100): -163.72 | Success: 55.7% | Epsilon: 0.0100
Episode 8600 | Reward: -200.0 | Avg(100): -158.48 | Success: 56.1% | Epsilon: 0.0100
Episode 8700 | Reward: -144.0 | Avg(100): -162.15 | Success: 56.4% | Epsilon: 0.0100
Episode 8800 | Reward: -190.0 | Avg(100): -166.86 | Success: 56.6% | Epsilon: 0.0100
Episode 8900 | Reward: -192.0 | Avg(100): -147.39 | Success: 57.0% | Epsilon: 0.0100
Episode 9000 | Reward: -186.0 | Avg(100): -140.89 | Success: 57.5% | Epsilon: 0.0100
Episode 9100 | Reward: -195.0 | Avg(100): -182.05 | Success: 58.0% | Epsilon: 0.0100
Episode 9200 | Reward: -180.0 | Avg(100): -178.44 | Success: 58.3% | Epsilon: 0.0100
Episode 9300 | Reward: -158.0 | Avg(100): -173.10 | Success: 58.7% | Epsilon: 0.0100
Episode 9400 | Reward: -186.0 | Avg(100): -184.85 | Success: 58.9% | Epsilon: 0.0100
Episode 9500 | Reward: -184.0 | Avg(100): -188.89 | Success: 59.2% | Epsilon: 0.0100
Episode 9600 | Reward: -200.0 | Avg(100): -182.56 | Success: 59.5% | Epsilon: 0.0100
Episode 9700 | Reward: -157.0 | Avg(100): -175.08 | Success: 59.7% | Epsilon: 0.0100
Episode 9800 | Reward: -190.0 | Avg(100): -165.69 | Success: 60.0% | Epsilon: 0.0100
Episode 9900 | Reward: -158.0 | Avg(100): -161.91 | Success: 60.4% | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): -146.80
Maximum reward achieved: -106.00
Overall success rate: 60.80%
Average steps (last 100): 146.80
Training time: 61.60 seconds
End time: 2026-01-18 18:58:30
